발표시각,예보시각,날씨,최저기온,최고기온
2017-04-27 06:00,2017-04-30 오전,맑음,12,
2017-04-27 06:00,2017-04-30 오후,구름많음,,25
2017-04-27 06:00,2017-05-01 오전,맑음,12,
2017-04-27 06:00,2017-05-01 오후,맑음,,26
2017-04-27 06:00,2017-05-02 오전,맑음,12,
2017-04-27 06:00,2017-05-02 오후,맑음,,26
2017-04-27 06:00,2017-05-03 오전,구름조금,13,
2017-04-27 06:00,2017-05-03 오후,구름조금,,26
2017-04-27 06:00,2017-05-04 오전,구름많음,14,
2017-04-27 06:00,2017-05-04 오후,구름많고 비,,24
2017-04-27 06:00,2017-05-05,구름많음,14,24
2017-04-27 06:00,2017-05-06,구름조금,14,24
2017-04-27 06:00,2017-05-07,구름조금,13,24
2017-04-27 18:00,2017-04-30 오전,맑음,12,
2017-04-27 18:00,2017-04-30 오후,구름많음,,25
2017-04-27 18:00,2017-05-01 오전,맑음,12,
2017-04-27 18:00,2017-05-01 오후,맑음,,26
2017-04-27 18:00,2017-05-02 오전,맑음,13,
2017-04-27 18:00,2017-05-02 오후,맑음,,26
2017-04-27 18:00,2017-05-03 오전,구름조금,14,
2017-04-27 18:00,2017-05-03 오후,구름조금,,27
2017-04-27 18:00,2017-05-04 오전,구름많음,14,
2017-04-27 18:00,2017-05-04 오후,구름많고 비,,24
2017-04-27 18:00,2017-05-05,구름많음,14,24
2017-04-27 18:00,2017-05-06,구름조금,14,24
2017-04-27 18:00,2017-05-07,구름많음,13,24
2017-04-28 06:00,2017-05-01 오전,맑음,12,
2017-04-28 06:00,2017-05-01 오후,맑음,,26
2017-04-28 06:00,2017-05-02 오전,맑음,13,
2017-04-28 06:00,2017-05-02 오후,맑음,,26
2017-04-28 06:00,2017-05-03 오전,구름조금,14,
2017-04-28 06:00,2017-05-03 오후,구름조금,,27
2017-04-28 06:00,2017-05-04 오전,구름많음,14,
2017-04-28 06:00,2017-05-04 오후,구름많고 비,,25
2017-04-28 06:00,2017-05-05 오전,구름많음,14,
2017-04-28 06:00,2017-05-05 오후,구름많음,,24
2017-04-28 06:00,2017-05-06,구름조금,14,24
2017-04-28 06:00,2017-05-07,구름많음,13,24
2017-04-28 06:00,2017-05-08,구름많음,14,24
2017-04-28 18:00,2017-05-01 오전,맑음,12,
2017-04-28 18:00,2017-05-01 오후,맑음,,26
2017-04-28 18:00,2017-05-02 오전,맑음,13,
2017-04-28 18:00,2017-05-02 오후,맑음,,26
2017-04-28 18:00,2017-05-03 오전,구름조금,14,
2017-04-28 18:00,2017-05-03 오후,구름조금,,27
2017-04-28 18:00,2017-05-04 오전,구름많음,14,
2017-04-28 18:00,2017-05-04 오후,구름많음,,25
2017-04-28 18:00,2017-05-05 오전,흐리고 비,14,
2017-04-28 18:00,2017-05-05 오후,구름많음,,23
2017-04-28 18:00,2017-05-06,구름조금,14,24
2017-04-28 18:00,2017-05-07,구름많음,13,24
2017-04-28 18:00,2017-05-08,구름많음,14,24
2017-04-29 06:00,2017-05-02 오전,맑음,13,
2017-04-29 06:00,2017-05-02 오후,맑음,,26
2017-04-29 06:00,2017-05-03 오전,구름조금,14,
2017-04-29 06:00,2017-05-03 오후,구름조금,,27
2017-04-29 06:00,2017-05-04 오전,구름많음,14,
2017-04-29 06:00,2017-05-04 오후,구름많음,,25
2017-04-29 06:00,2017-05-05 오전,흐리고 비,14,
2017-04-29 06:00,2017-05-05 오후,구름많음,,21
2017-04-29 06:00,2017-05-06 오전,구름조금,13,
2017-04-29 06:00,2017-05-06 오후,구름조금,,24
2017-04-29 06:00,2017-05-07,구름많음,13,24
2017-04-29 06:00,2017-05-08,구름많음,13,24
2017-04-29 06:00,2017-05-09,구름조금,13,24
2017-04-29 18:00,2017-05-02 오전,맑음,13,
2017-04-29 18:00,2017-05-02 오후,맑음,,26
2017-04-29 18:00,2017-05-03 오전,구름조금,14,
2017-04-29 18:00,2017-05-03 오후,구름조금,,27
2017-04-29 18:00,2017-05-04 오전,구름많음,14,
2017-04-29 18:00,2017-05-04 오후,구름많음,,25
2017-04-29 18:00,2017-05-05 오전,흐리고 비,14,
2017-04-29 18:00,2017-05-05 오후,구름많음,,21
2017-04-29 18:00,2017-05-06 오전,구름조금,13,
2017-04-29 18:00,2017-05-06 오후,구름조금,,24
2017-04-29 18:00,2017-05-07,구름조금,13,24
2017-04-29 18:00,2017-05-08,구름많음,13,24
2017-04-29 18:00,2017-05-09,구름많음,13,24
2017-04-30 06:00,2017-05-03 오전,구름조금,14,
2017-04-30 06:00,2017-05-03 오후,구름조금,,28
2017-04-30 06:00,2017-05-04 오전,구름많음,15,
2017-04-30 06:00,2017-05-04 오후,구름많음,,26
2017-04-30 06:00,2017-05-05 오전,흐리고 비,15,
2017-04-30 06:00,2017-05-05 오후,구름많음,,22
2017-04-30 06:00,2017-05-06 오전,구름조금,12,
2017-04-30 06:00,2017-05-06 오후,구름조금,,22
2017-04-30 06:00,2017-05-07 오전,구름조금,12,
2017-04-30 06:00,2017-05-07 오후,구름조금,,24
2017-04-30 06:00,2017-05-08,구름많음,13,24
2017-04-30 06:00,2017-05-09,구름많음,13,25
2017-04-30 06:00,2017-05-10,구름많음,14,25
2017-04-30 18:00,2017-05-03 오전,구름조금,14,
2017-04-30 18:00,2017-05-03 오후,구름조금,,28
2017-04-30 18:00,2017-05-04 오전,구름많음,15,
2017-04-30 18:00,2017-05-04 오후,구름많음,,26
2017-04-30 18:00,2017-05-05 오전,흐리고 비,15,
2017-04-30 18:00,2017-05-05 오후,구름많음,,22
2017-04-30 18:00,2017-05-06 오전,구름많음,12,
2017-04-30 18:00,2017-05-06 오후,구름조금,,20
2017-04-30 18:00,2017-05-07 오전,구름조금,12,
2017-04-30 18:00,2017-05-07 오후,구름조금,,23
2017-04-30 18:00,2017-05-08,구름많음,13,24
2017-04-30 18:00,2017-05-09,구름많음,13,25
2017-04-30 18:00,2017-05-10,구름많음,14,25
2017-05-01 06:00,2017-05-04 오전,구름많음,15,
2017-05-01 06:00,2017-05-04 오후,구름많음,,27
2017-05-01 06:00,2017-05-05 오전,흐리고 비,15,
2017-05-01 06:00,2017-05-05 오후,구름많음,,22
2017-05-01 06:00,2017-05-06 오전,구름많음,12,
2017-05-01 06:00,2017-05-06 오후,구름조금,,20
2017-05-01 06:00,2017-05-07 오전,구름조금,12,
2017-05-01 06:00,2017-05-07 오후,구름조금,,23
2017-05-01 06:00,2017-05-08 오전,구름많음,13,
2017-05-01 06:00,2017-05-08 오후,구름많음,,24
2017-05-01 06:00,2017-05-09,구름많음,13,25
2017-05-01 06:00,2017-05-10,구름많음,14,25
2017-05-01 06:00,2017-05-11,구름많음,14,25
2017-05-01 18:00,2017-05-04 오전,구름조금,15,
2017-05-01 18:00,2017-05-04 오후,구름많음,,27
2017-05-01 18:00,2017-05-05 오전,흐리고 비,15,
2017-05-01 18:00,2017-05-05 오후,구름많음,,22
2017-05-01 18:00,2017-05-06 오전,구름많음,12,
2017-05-01 18:00,2017-05-06 오후,구름조금,,20
2017-05-01 18:00,2017-05-07 오전,맑음,12,
2017-05-01 18:00,2017-05-07 오후,맑음,,23
2017-05-01 18:00,2017-05-08 오전,구름조금,13,
2017-05-01 18:00,2017-05-08 오후,구름많음,,24
2017-05-01 18:00,2017-05-09,구름많음,13,25
2017-05-01 18:00,2017-05-10,구름조금,14,25
2017-05-01 18:00,2017-05-11,구름많음,14,25
2017-05-02 06:00,2017-05-05 오전,흐리고 비,15,
2017-05-02 06:00,2017-05-05 오후,구름많음,,22
2017-05-02 06:00,2017-05-06 오전,구름많음,12,
2017-05-02 06:00,2017-05-06 오후,구름조금,,20
2017-05-02 06:00,2017-05-07 오전,맑음,12,
2017-05-02 06:00,2017-05-07 오후,맑음,,23
2017-05-02 06:00,2017-05-08 오전,구름조금,13,
2017-05-02 06:00,2017-05-08 오후,구름많음,,24
2017-05-02 06:00,2017-05-09 오전,구름많음,13,
2017-05-02 06:00,2017-05-09 오후,구름많음,,25
2017-05-02 06:00,2017-05-10,구름조금,14,25
2017-05-02 06:00,2017-05-11,구름많음,14,25
2017-05-02 06:00,2017-05-12,구름조금,14,25
2017-05-02 18:00,2017-05-05 오전,흐리고 비,15,
2017-05-02 18:00,2017-05-05 오후,구름많음,,23
2017-05-02 18:00,2017-05-06 오전,구름많음,12,
2017-05-02 18:00,2017-05-06 오후,구름조금,,20
2017-05-02 18:00,2017-05-07 오전,맑음,11,
2017-05-02 18:00,2017-05-07 오후,맑음,,23
2017-05-02 18:00,2017-05-08 오전,구름조금,12,
2017-05-02 18:00,2017-05-08 오후,구름많음,,24
2017-05-02 18:00,2017-05-09 오전,구름많음,13,
2017-05-02 18:00,2017-05-09 오후,구름많음,,25
2017-05-02 18:00,2017-05-10,구름조금,14,25
2017-05-02 18:00,2017-05-11,구름많음,14,25
2017-05-02 18:00,2017-05-12,구름조금,14,24
2017-05-03 06:00,2017-05-06 오전,구름많음,12,
2017-05-03 06:00,2017-05-06 오후,구름조금,,20
2017-05-03 06:00,2017-05-07 오전,맑음,11,
2017-05-03 06:00,2017-05-07 오후,맑음,,23
2017-05-03 06:00,2017-05-08 오전,구름조금,12,
2017-05-03 06:00,2017-05-08 오후,구름많음,,24
2017-05-03 06:00,2017-05-09 오전,구름많음,13,
2017-05-03 06:00,2017-05-09 오후,구름많음,,25
2017-05-03 06:00,2017-05-10 오전,구름많음,14,
2017-05-03 06:00,2017-05-10 오후,구름조금,,25
2017-05-03 06:00,2017-05-11,구름많음,14,25
2017-05-03 06:00,2017-05-12,구름조금,14,24
2017-05-03 06:00,2017-05-13,구름많음,15,25
2017-05-03 18:00,2017-05-06 오전,구름많음,11,
2017-05-03 18:00,2017-05-06 오후,구름조금,,20
2017-05-03 18:00,2017-05-07 오전,맑음,11,
2017-05-03 18:00,2017-05-07 오후,맑음,,23
2017-05-03 18:00,2017-05-08 오전,구름조금,12,
2017-05-03 18:00,2017-05-08 오후,구름조금,,24
2017-05-03 18:00,2017-05-09 오전,구름많음,13,
2017-05-03 18:00,2017-05-09 오후,구름많음,,25
2017-05-03 18:00,2017-05-10 오전,구름많음,14,
2017-05-03 18:00,2017-05-10 오후,구름조금,,25
2017-05-03 18:00,2017-05-11,구름많음,14,25
2017-05-03 18:00,2017-05-12,구름조금,14,24
2017-05-03 18:00,2017-05-13 오전,구름많음,15,25
